,Observación,Evidencia,Ajuste,Comentarios
VERDADERO,"El placeholder debe ser una cifra númerica como en el figma tenemos ""123456789""",,,
VERDADERO,Revisar la validación en el escenario cuando un usuario regresa al input de número de empleado. Verificar que se vuelva a validar y el CTA quede deshabilitado ,,,
VERDADERO,Ajustar el tamaño del icono a 24 px,,,
VERDADERO,Ajustar el bullet al top (ajuste general),,,
VERDADERO,Se quita el scroll de la card y se ajusta el contenido al contenedor. Solo queda un scroll general ,,aqui,
VERDADERO,"Quitar la s a ""gorras"" dejarlo en singular",,,
VERDADERO,Ajustar el corner radius de la card a 24px,,,
VERDADERO,Se elimina el pading entre la card y la imagen solo queda el padding del contenedor de la imagen,,,
VERDADERO,"Cambiar el estilo de la tipografía del loader, debe ser Diaplay 48/59",,,
FALSO,Cambiar el peso de la tipo 500,,,
FALSO,Agregar la línea antes del signo de interrogación ,,,
FALSO,Agregar el copy de la justificación de la respuesta de la trivia ,,,
VERDADERO,Capitalizar los textos para que los nombres queden siempre en mayúsculas y minúsculas,,,
VERDADERO,"""Edítala"" falta acento en la í",,,
VERDADERO,"Eliminar stroke y agregar sombreado en la card de domicilio, revisar el color de los textos y capitalizar los nombres",,,
VERDADERO,"En la card de edición debe respetarse el diseño de en cuanto a la caja del container con fondo blanco, los inputs deben de estár prellenados con la información del usuarios ",,,
VERDADERO,"Cambiar por componente correcto - Solo ajustar la alineación a la izquierda, la tipografía y el color del label",,,
VERDADERO,"Revisar el estilo del button sheet, revisar paddigs, estilo de la tipografía del título  ""Selecciona un estado civil"" y agregar en todos el drag handle",,,
FALSO,El CTA debe de permanecer deshabilitado hasta que el usuario seleccione la opción ,,,
VERDADERO,Revisar paddings de este componente,,,
FALSO,"Revisar el estilo del button sheet, revisar paddigs, estilo de la tipografía del título ""Selecciona una ocupación"" y agregar en todos el drag handle",,,
FALSO,El CTA debe de permanecer deshabilitado hasta que el usuario seleccione la opción,,,
FALSO,Ordenar alfabeticamente todos los catálogos (cambio general). Validar si va con back o frontend ,,,
VERDADERO,Ajustar tipografía que debe ser Display 48/59 y verifacir padding entre logo y texto, ,,
FALSO,,,,
VERDADERO,Ajustar el stepper al ancho del contenedor y revisar sombra,,,
VERDADERO,Capitalizar nombre del usuario,,,
FALSO,Ajustar el estilo del radio button con el circulo al centro blanco. Se ajusta por componente correcto,,,
VERDADERO,"Ajuste general de inputs, peso y tipografía ",,,
FALSO,"Agregar ""opcional"" en el número interior",,,
FALSO,Ajustar validación de datos incompletos en pantalla,,,
VERDADERO,"Ajustar stepper al ancho del contenedor, capitalizar el nombre del usuario ",,,
VERDADERO,"Dejar el stepper en el ajustado al contenedor.
Título ajustado al contenedor.
Revisar el estilo de la animación de instrucciones.
Revisar el mapa porque el API no está actualizada.",,,
VERDADERO,"Dejar el stepper en el ajustado al contenedor.
Título ajustado al contenedor.
Subtítulo ajustado al contenedor.
Agregar el button sheet como contenedor para los CTA, sin interacción ",,,
VERDADERO,Banner content con el color de la segmentación ,,,
VERDADERO,Revisar el tamaño de la imagen de ofertas para tomar de referencia 250px,,,
VERDADERO,"Ajustar le padding entre ""¡Tú decides cómo usarlo!"" y entre el ""O llévate:"" y el carrusel son 16px",,,
FALSO,El carrusel debe abarcar todo el espacio a la derecha y ajustar el stroke de acuerdo al canal  y ocultar los dont´s,,,
VERDADERO,Cambiar la fuente y el peso de *Sujeto a aprobación,,,
VERDADERO,"Ajuste de H2 general, bullets alineados al top, tomar la medida de 250px de base para los dispospositivos más grandes",,,
VERDADERO,El tamaño del logo queda en 50px de profundidad ,,,
FALSO,"Centrar el chip del día ""Domingo""",,,
VERDADERO,Falta la sombra en todos los chips no seleccionados y el stroke en el activo,,,
FALSO,"La url a donde nos debe dirigir es: Pendiente
Y pintar el punto final en verde ",,,
VERDADERO,"Ajustar el tamaño de la tipografía a 11pts, en el design system tenemos un atributo específico",,,
VERDADERO,"Ajustar contenido de la card al 50% y que el margen entre el chip y el texto ""Al continuar, aceptas el Contrato de préstamo."" quede automatico y proporcional de acuerdo al dispositivo ",,,
VERDADERO,"Revisar si las chips pueden adaptarse proporcionalmente al dispositivo, solo respetando el padding entre ellas",,,
VERDADERO,"Ajustar contenido de la card al 50%, revisar tipografías y estilos, agregar la sombra de las chips cuando están en default",,,
FALSO,"Cambiar la tipografía por el estilo correcto, cambiar el icono del calendario por el reloj de figma y verificar que el verde del fondo sea el hexadecimal #E3EDEA y el stroke #14875A",,,
VERDADERO,"El CTA debe decir ""Confirmar""",,,
FALSO,"En el estado de active cuando se selecciona el día, agregar un padding para que no se corte la sombra de la selección, y verificar el color del stroke debe ser #14875A",,,
FALSO,En el estado de active cuando se selecciona la hora agregar el stroke #14875A,,,
VERDADERO,"Revisar si las chips pueden adaptarse proporcionalmente al dispositivo, solo respetando el padding entre ellas",,,
VERDADERO,"Revisar la linea del header entre el logo y el título
Agregrar el formato de a.m. o p.m. de acuerdo a la hora agendada 
Revisar el hexadecimal del color verde que debe ser #106949
Padding entre título y bullets debe de ser 24 px, quitar el margen extra del contenedor de los bullets


",,,
FALSO,Cambiar el icono,,,
FALSO,"La variable de tiempo sobre la duración de la vista cambia de acuerdo al perfil de cliente: 15 minutos clientes verdes, 30 minutos clientes amarillos y 35 minutos clientes rojos",,,
VERDADERO,"Revisar los estilos del título y subtítulo
Quitar los signos de exclamación del título
Revisar la tipografía del CTA de whatsapp
Agregar la gradiente dentro del CTA de whatsapp

",,,
VERDADERO,Agregar la línea del color del canal en la card del carrusel y ocultar los dont´s,,,
VERDADERO,Agregar la URL al sitio de Banco Azteca,,,
VERDADERO,"Eliminar el padding que tenemos en el componente del CTA de ""Responder""",,,
FALSO,Cambiar el input por textarea de la pregunta,,,
FALSO,Agregar la regla de al menos 3 caracteres para poder actrivar el CTA,,,
FALSO,"Revisar las fuentes tipografías
Revisar el padding entre el Buscador y el subtítulo
Revisar el padding ente el mapa y Buscador
Revisar el tema del pin de BAZ en el mapa
Falta el título de ""Elegir sucursal""
Dejar en altas y bajas el nombre de la sucursal y la dirección
Quitar los decimales de la unidad de KM
Agregar el CTA dentro de la card blanca de sucursal
Eliminar el textlink de ""No encuentro mi domicilio""

",,,
FALSO,"Ajuste de copy en la pantalla de salida para ""Busqueda de sucursal""",,,
FALSO,,,,
FALSO,,,,
FALSO,,,,
FALSO,,,,
FALSO,,,,
FALSO,,,,
FALSO,,,,
FALSO,,,,
FALSO,,,,
